UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
202073,2016,Cleveland Institute of Music,OH,60,59,1,3,39,17,42,60680,78065.66
227881,2016,Sam Houston State University,TX,2758,2758,0,2687,54,17,2741,22885,63900.24
156213,2016,Asbury University,KY,306,306,0,155,134,17,289,42462,61842.48
110486,2016,California State University-Bakersfield,CA,1362,1362,0,1322,23,17,1345,18661,53982.7
131450,2016,Gallaudet University,DC,245,245,0,3,225,17,228,38892,65746.56
198950,2016,Meredith College,NC,423,423,0,377,29,17,406,50390,66301.42
215442,2016,Point Park University,PA,611,611,0,361,234,16,595,45350,54201.1
202170,2016,Columbus College of Art and Design,OH,240,237,3,173,48,16,221,49217,65843.21
199069,2016,University of Mount Olive,NC,293,283,10,219,48,16,267,32055,51727.18
228802,2016,The University of Texas at Tyler,TX,825,825,0,793,16,16,809,20730,53622.93
217819,2016,College of Charleston,SC,2349,2346,3,1374,956,16,2330,29545,66962.7
216667,2016,Washington & Jefferson College,PA,429,428,1,298,114,16,412,62814,61376.37
206437,2016,Walsh University,OH,440,440,0,362,62,16,424,42869,58552.19
221892,2016,Trevecca Nazarene University,TN,414,414,0,251,147,16,398,34473,59625.44
216038,2016,Slippery Rock University of Pennsylvania,PA,1564,1564,0,1357,191,16,1548,24600,54113.09
219976,2016,Lipscomb University,TN,637,635,2,371,248,16,619,49074,66979.13
141167,2016,Thomas University,GA,106,103,3,51,36,16,87,27354,45124.61
123952,2016,Southern California Institute of Architecture,CA,21,21,0,3,2,16,5,70734,66525.34
207324,2016,Oklahoma Christian University,OK,454,451,3,186,250,15,436,37015,63431.55
207856,2016,Southwestern Christian University,OK,162,162,0,111,36,15,147,28315,50467
222178,2016,Abilene Christian University,TX,1047,1046,1,951,80,15,1031,51577,67136.19
409698,2016,California State University-Monterey Bay,CA,802,802,0,757,30,15,787,23389,70802.17
123554,2016,Saint Mary's College of California,CA,562,562,0,473,74,15,547,69071,84232.87
213020,2016,Indiana University of Pennsylvania-Main Campus,PA,2306,2306,0,2178,113,15,2291,28442,54158.04
117557,2016,Lincoln University,CA,20,20,0,5,0,15,5,37686.031269160027,76284.11
153375,2016,Grand View University,IA,338,338,0,263,60,15,323,39864,62140.86
122454,2016,San Francisco Art Institute,CA,62,62,0,26,21,15,47,70023,72969.6
163338,2016,University of Maryland Eastern Shore,MD,715,714,1,524,175,15,699,24348,66039.83
152600,2016,Valparaiso University,IN,862,862,0,367,480,15,847,53847,72576.06
221731,2016,Tennessee Wesleyan University,TN,199,199,0,150,34,15,184,33219,48462.92
204936,2016,Otterbein University,OH,646,646,0,578,53,15,631,45773,67882
206604,2016,Wright State University-Main Campus,OH,2288,2288,0,2202,71,15,2273,23009,61970.64
220631,2016,Lincoln Memorial University,TN,305,299,6,197,87,15,284,36365,43510.38
197911,2016,Barton College,NC,241,241,0,174,52,15,226,46539,54814.93
180179,2016,Montana State University-Billings,MT,680,679,1,617,48,14,665,16755,48720.57
230834,2016,Castleton University,VT,476,476,0,315,147,14,462,24841,61392.97
140960,2016,Savannah State University,GA,1311,1309,2,1069,226,14,1295,16819,54220.88
227863,2016,University of St Thomas,TX,277,275,2,250,11,14,261,42652,71790.89
198561,2016,Gardner-Webb University,NC,444,444,0,304,126,14,430,45333,54757.84
226152,2016,Texas A & M International University,TX,1113,1113,0,1094,5,14,1099,13408,43910.56
213367,2016,La Salle University,PA,869,869,0,565,290,14,855,45298,67401.72
139764,2016,Georgia Southwestern State University,GA,485,485,0,445,26,14,471,19125,49591.36
209825,2016,University of Portland,OR,961,961,0,223,724,14,947,64049,67900.72
155335,2016,Newman University,KS,180,180,0,134,32,14,166,41633,62008.99
119775,2016,Newschool of Architecture and Design,CA,36,36,0,18,4,14,22,50284,67862.5
229018,2016,The University of Texas of the Permian Basin,TX,496,496,0,465,18,13,483,17323,47475.29
170037,2016,Cornerstone University,MI,283,283,0,223,47,13,270,35814,63718.46
239716,2016,Saint Norbert College,WI,584,584,0,460,111,13,571,51383,71321.9
204264,2016,Muskingum University,OH,319,319,0,286,20,13,306,41716,57566.05
130253,2016,Sacred Heart University,CT,1322,1321,1,355,953,13,1308,61591,87263.76
